stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
18,0.5,1.0,20.797351300017908,,20.782238699961454,20.797351300017908,21.296787299914286,21.296787299914286,21.296787299914286,21.59706819988787,21.79869329999201,right,1.0,1,1,0.49564450001344085,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
19,0.5,1.0,21.814036899944767,,21.798960199812427,21.814036899944767,22.299355699913576,22.299355699913576,22.31594379991293,22.59806209988892,22.81623819982633,left,-1.0,0,0,0.5045080001000315,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
20,0.5,1.5,22.83163129980676,,22.816525799920782,22.83163129980676,23.331372099928558,23.331372099928558,23.331372099928558,23.633064499823377,24.01628529978916,left,-1.5,1,1,0.6771693001501262,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
21,0.5,1.5,24.032284499844536,,24.016565599944443,24.032284499844536,24.516080899862573,24.516080899862573,24.53310429980047,24.83150849980302,25.248543799854815,right,1.5,1,1,0.7201769999228418,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
22,0.5,1.5,25.264219800010324,,25.24879809981212,25.264219800010324,25.748941999860108,25.748941999860108,25.76505299983546,26.06354000000283,26.449693199945614,left,-1.5,1,1,0.6840345000382513,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
23,0.5,1.0,26.465806999942288,,26.449998599942774,26.465806999942288,26.965078699868172,26.965078699868172,26.965078699868172,27.28038699994795,27.615270299836993,left,-1.0,1,1,0.6489979000762105,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
24,0.5,1.0,27.63091139984317,,27.615532099967822,27.63091139984317,28.11440599989146,28.11440599989146,28.130949799902737,28.41539519978687,28.581185000017285,right,1.0,0,0,0.45067649986594915,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
25,0.5,1.5,28.597465900005773,,28.581448999932036,28.597465900005773,29.097539299866185,29.097539299866185,29.097539299866185,29.41408949997276,29.56437679985538,left,-1.5,0,0,0.4528264000546187,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
26,0.5,2.0,29.580185499973595,,29.5646509998478,29.580185499973595,30.06566929980181,30.06566929980181,30.08117809984833,30.381243199808523,30.730687899980694,right,2.0,1,1,0.6583251999691129,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
27,0.5,2.0,30.748121300013736,,30.73092749994248,30.748121300013736,31.2312813999597,31.2312813999597,31.247904099989682,31.531575499800965,31.74663249985315,left,-2.0,1,1,0.5007215000223368,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
