reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
26,86,53,15,15,0,l,1.5030725999968126,None,0,15,15,78,38.6371691999957,,38.62816130000283,38.6371691999957,39.62064999999711,39.62064999999711,39.63728779999656,41.13766889998806,l,1.5030725999968126,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
91,95,72,16,16,0,t,1.6299102999910247,None,0,16,16,72,41.15313089999836,,41.14826659997925,41.15313089999836,42.15315689999261,42.15315689999261,42.15315689999261,43.78802109998651,t,1.6299102999910247,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
24,73,77,17,17,0,t,1.4992631999775767,None,0,17,17,81,43.80378049999126,,43.79455170000438,43.80378049999126,44.80357359998743,44.80357359998743,44.80357359998743,46.30353189999005,t,1.4992631999775767,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
6,56,100,18,18,0,l,1.449049599992577,None,0,18,18,31,46.31976869999198,,46.312421199982055,46.31976869999198,47.30367229998228,47.30367229998228,47.320188399986364,48.75474380000378,l,1.449049599992577,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
97,100,27,19,19,0,t,0.8853174999821931,None,0,19,19,17,48.77042939999956,,48.7625771999883,48.77042939999956,49.769899499980966,49.769899499980966,49.769899499980966,50.6711233999813,t,0.8853174999821931,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
41,43,141,20,20,0,t,1.1510643000074197,None,0,20,20,36,50.68703460000688,,50.678922899998724,50.68703460000688,51.670417499990435,51.670417499990435,51.68710489998921,52.837447099998826,t,1.1510643000074197,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
69,88,29,21,21,0,l,1.7791271999885794,None,0,21,21,30,52.85354889999144,,52.8452976999979,52.85354889999144,53.83717699997942,53.83717699997942,53.853677799983416,55.61987169997883,l,1.7791271999885794,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
16,27,56,22,22,0,t,1.83234850000008,None,0,22,22,68,55.63618609998957,,55.62633800000185,55.63618609998957,56.62010629998986,56.62010629998986,56.63695569999982,58.45422079999116,t,1.83234850000008,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
40,61,43,23,23,0,t,3.742512999975588,None,0,23,23,96,58.46966169998632,,58.46009779997985,58.46966169998632,59.45267080000485,59.45267080000485,59.46963589999359,63.204266899992945,t,3.742512999975588,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
3,63,192,24,24,0,l,1.5209655000071507,None,0,24,24,45,63.22012759998324,,63.21077839998179,63.22012759998324,64.20304100000067,64.20304100000067,64.22025749998284,65.73762400000123,l,1.5209655000071507,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
36,82,147,25,25,0,t,1.3600032000103965,None,0,25,25,82,65.75272220000625,,65.74681129999226,65.75272220000625,66.75268819998018,66.75268819998018,66.75268819998018,68.12041079998016,t,1.3600032000103965,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
2,7,7,26,26,0,l,1.2826710999943316,None,0,26,26,41,68.13644750000094,,68.12650670000585,68.13644750000094,69.13639020000119,69.13639020000119,69.13639020000119,70.42110609999509,l,1.2826710999943316,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
5,98,109,27,27,0,l,1.418869100016309,None,0,27,27,24,70.43669839997892,,70.42782399998396,70.43669839997892,71.43700909998734,71.43700909998734,71.43700909998734,72.87032419999014,l,1.418869100016309,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
23,27,39,28,28,0,t,2.2620529000123497,None,0,28,28,43,72.88629569998011,,72.87673879999784,72.88629569998011,73.88570149999578,73.88570149999578,73.88570149999578,76.15371459999005,t,2.2620529000123497,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
72,99,119,29,29,0,t,1.619952800014289,None,0,29,29,61,76.16916289998335,,76.16047050000634,76.16916289998335,77.16961660000379,77.16961660000379,77.16961660000379,78.80369939998491,t,1.619952800014289,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
4,29,176,30,30,0,l,2.078750899992883,None,0,30,30,93,78.81989739998244,,78.8107170999865,78.81989739998244,79.80315309998696,79.80315309998696,79.81974409997929,81.8874961999827,l,2.078750899992883,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
21,27,26,31,31,0,t,1.4418031999957748,None,0,31,31,7,81.9030616999953,,81.89501340000425,81.9030616999953,82.88675509998575,82.88675509998575,82.90324210000108,84.33729440000025,t,1.4418031999957748,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
9,39,173,32,32,0,l,1.3432847999793012,None,0,32,32,47,84.35308319999604,,84.34408159999293,84.35308319999604,85.35296269998071,85.35296269998071,85.35296269998071,86.70274119998794,l,1.3432847999793012,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
63,88,20,33,33,0,l,2.902166900021257,None,0,33,33,29,86.71877649999806,,86.7083430000057,86.71877649999806,87.70311849997961,87.70311849997961,87.71968899999047,90.62060550000751,l,2.902166900021257,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
40,77,158,34,34,0,t,1.7487962000013795,None,0,34,34,89,90.63639840000542,,90.6272684999858,90.63639840000542,91.61978700000327,91.61978700000327,91.63635459999205,93.37077670000144,t,1.7487962000013795,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
58,66,64,35,35,0,t,1.5059055000019725,None,0,35,35,9,93.38619369998924,,93.37935259999358,93.38619369998924,94.38635950000025,94.38635950000025,94.38635950000025,95.90257799997926,t,1.5059055000019725,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
55,56,93,36,36,0,t,1.7854813000012655,None,0,36,36,32,95.91879890000564,,95.9081104999932,95.91879890000564,96.90281840000534,96.90281840000534,96.91977829998359,98.7038246000011,t,1.7854813000012655,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
48,92,19,37,37,0,l,1.2521210000268184,None,0,37,37,98,98.71921769998153,,98.71305739998934,98.71921769998153,99.71930239998619,99.71930239998619,99.71930239998619,100.98608849997981,l,1.2521210000268184,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
80,86,6,38,38,0,l,2.007509499992011,None,0,38,38,23,101.00204679998569,,100.99202740000328,101.00204679998569,101.98534199999995,101.98534199999995,102.00197979999939,104.00322769998456,l,2.007509499992011,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
96,100,47,39,39,0,t,1.3096093999920413,None,0,39,39,90,104.01942559998133,,104.00980559998425,104.01942559998133,105.00248759999522,105.00248759999522,105.0193120999902,106.32002199999988,t,1.3096093999920413,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
1,53,75,40,40,0,l,1.2006698000186589,None,0,40,40,80,106.33566680000513,,106.32591839999077,106.33566680000513,107.33619689999614,107.33619689999614,107.33619689999614,108.5533429000061,l,1.2006698000186589,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
58,88,70,41,41,0,t,2.932880699983798,None,0,41,41,51,108.5693459000031,,108.56202660000417,108.5693459000031,109.55241539998678,109.55241539998678,109.56916519999504,112.48750990000553,t,2.932880699983798,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
80,94,42,42,42,0,t,2.6212629999790806,None,0,42,42,97,112.50255889998516,,112.4960388999898,112.50255889998516,113.50261130000581,113.50261130000581,113.50261130000581,116.13616959998035,t,2.6212629999790806,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
2,72,51,43,43,0,l,1.4762375999998767,None,0,43,43,25,116.1522663999931,,116.14223569998285,116.1522663999931,117.1516267999832,117.1516267999832,117.1516267999832,118.6368494000053,l,1.4762375999998767,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
42,46,67,44,44,0,t,2.239619300002232,None,0,44,44,62,118.65201029999298,,118.64482580000185,118.65201029999298,119.65262609999627,119.65262609999627,119.65262609999627,121.90324769998551,t,2.239619300002232,None,participant_4,001,2025-11-03_14h46.28.551,Deeya Delay Discounting,,2025.1.1,59.846231089940744,2025-11-03 14h46.49.721171 +0530,
